label_scheme,label,cache_budget,sink_size,metric,mean,documents,tokens,ci_low,ci_high
coarse_category,content,128,0,delta_ce,0.5735172343482082,16,429,0.3673643142768732,0.7970355171634592
coarse_category,content,128,0,kl_full_to_compact,0.428661948042574,16,429,0.3054077797470432,0.5739467978951462
coarse_category,content,128,0,top1_changed,0.34647734748820463,16,429,0.29960817417147534,0.39732404537427407
coarse_category,function,128,0,delta_ce,0.10801713581112553,16,273,0.018758077694071548,0.20543008770183052
coarse_category,function,128,0,kl_full_to_compact,0.21232534403161987,16,273,0.17162946975185064,0.26038482446168265
coarse_category,function,128,0,top1_changed,0.22687043739854096,16,273,0.1664181458449461,0.2861048696220589
coarse_category,other,128,0,delta_ce,0.1707682594387944,16,83,-0.024510454392313502,0.38471293942601614
coarse_category,other,128,0,kl_full_to_compact,0.28023954807519524,16,83,0.15038433333661055,0.4757505144070346
coarse_category,other,128,0,top1_changed,0.15114989177489177,16,83,0.05445211038961039,0.2579998647186147
coarse_category,special,128,0,delta_ce,0.24146377551758416,16,239,0.1369728800396129,0.37206405949363286
coarse_category,special,128,0,kl_full_to_compact,0.27850617135112476,16,239,0.20743464616051135,0.3841941454481272
coarse_category,special,128,0,top1_changed,0.24950807042433565,16,239,0.20989869484386472,0.293154600243612
coarse_category,content,128,4,delta_ce,0.5885563238644642,16,429,0.3878025459236154,0.8074249924649016
coarse_category,content,128,4,kl_full_to_compact,0.4364652335156804,16,429,0.3092739649136145,0.5757408771676215
coarse_category,content,128,4,top1_changed,0.3653241003803429,16,429,0.3203030590611961,0.41137682303642026
coarse_category,function,128,4,delta_ce,0.10323666372250023,16,273,0.01730243181898866,0.20571991075999188
coarse_category,function,128,4,kl_full_to_compact,0.21447159565317658,16,273,0.17374352548111885,0.2629944828578964
coarse_category,function,128,4,top1_changed,0.22332968447456436,16,273,0.16899784773868548,0.27274024594958335
coarse_category,other,128,4,delta_ce,0.15092126428568495,16,83,-0.0356438165997205,0.3563087171996394
coarse_category,other,128,4,kl_full_to_compact,0.2721619270303366,16,83,0.14550508721399774,0.45909302627956755
coarse_category,other,128,4,top1_changed,0.14673069985569986,16,83,0.05786773989898989,0.25744757846320343
coarse_category,special,128,4,delta_ce,0.23640353108214548,16,239,0.13180424820044048,0.38166926072202867
coarse_category,special,128,4,kl_full_to_compact,0.28527992725876017,16,239,0.21350014963939576,0.3884637700321315
coarse_category,special,128,4,top1_changed,0.233268468522969,16,239,0.19287732893550275,0.2727554067277381
coarse_category,content,128,16,delta_ce,0.6286761313511383,16,429,0.43651865315303834,0.8499184013168761
coarse_category,content,128,16,kl_full_to_compact,0.46733044860713413,16,429,0.3389552584798497,0.6071652030985826
coarse_category,content,128,16,top1_changed,0.3654559262085003,16,429,0.3225531313188886,0.4115932059593833
coarse_category,function,128,16,delta_ce,0.13077677803075966,16,273,0.04363013222939432,0.23859965197828586
coarse_category,function,128,16,kl_full_to_compact,0.23890781417793708,16,273,0.1941003727826436,0.2897888905911477
coarse_category,function,128,16,top1_changed,0.24570710325143963,16,273,0.17982300562888198,0.30371214570969646
coarse_category,other,128,16,delta_ce,0.21829872816466736,16,83,-0.028768499308246837,0.4977004081140645
coarse_category,other,128,16,kl_full_to_compact,0.34722931299471244,16,83,0.16167301112293156,0.6051405987937521
coarse_category,other,128,16,top1_changed,0.1637761544011544,16,83,0.06348462301587302,0.2727506087662335
coarse_category,special,128,16,delta_ce,0.27951761603495634,16,239,0.1795203027516791,0.41873513773720356
coarse_category,special,128,16,kl_full_to_compact,0.31333921318381824,16,239,0.23779324482383002,0.41779305379733156
coarse_category,special,128,16,top1_changed,0.2618339136705643,16,239,0.21115714226119273,0.3150372395442834
coarse_category,content,512,0,delta_ce,0.2660935256616921,16,429,0.08640521829312768,0.4831673197508816
coarse_category,content,512,0,kl_full_to_compact,0.23282471109317357,16,429,0.13593932941341402,0.3542729989843866
coarse_category,content,512,0,top1_changed,0.23851909713024422,16,429,0.20337985142910864,0.2769966126895259
coarse_category,function,512,0,delta_ce,0.01921845957100643,16,273,-0.0419143660510564,0.08473352887962936
coarse_category,function,512,0,kl_full_to_compact,0.10717851336726852,16,273,0.07734625612430801,0.14961718257038684
coarse_category,function,512,0,top1_changed,0.15522178626261865,16,273,0.1064674594639644,0.2051780564933096
coarse_category,other,512,0,delta_ce,-0.0010695412489954495,16,83,-0.10430564200162845,0.11081129622709163
coarse_category,other,512,0,kl_full_to_compact,0.12233546237159873,16,83,0.05982222976403173,0.2231525385753476
coarse_category,other,512,0,top1_changed,0.10434253246753247,16,83,0.04261363636363637,0.1717644074675324
coarse_category,special,512,0,delta_ce,0.08719271928508375,16,239,-0.01036659701687927,0.23555316229728576
coarse_category,special,512,0,kl_full_to_compact,0.1623015890870412,16,239,0.09368153739548199,0.2768595685679711
coarse_category,special,512,0,top1_changed,0.1629047834771719,16,239,0.1143092792237062,0.22006692118135127
coarse_category,content,512,4,delta_ce,0.2685389569676118,16,429,0.0900057276577401,0.4883605225700667
coarse_category,content,512,4,kl_full_to_compact,0.23194915848701458,16,429,0.13562382663368505,0.35630880328685055
coarse_category,content,512,4,top1_changed,0.21904467611616335,16,429,0.18096788055776394,0.2601835247249977
coarse_category,function,512,4,delta_ce,0.022178342972979305,16,273,-0.03801120186365376,0.0927635548371621
coarse_category,function,512,4,kl_full_to_compact,0.10893113071194718,16,273,0.07733285959053633,0.15634434268120953
coarse_category,function,512,4,top1_changed,0.1570182838471597,16,273,0.10363881081911508,0.21603642121390068
coarse_category,other,512,4,delta_ce,-0.007025858262362052,16,83,-0.11146978873571656,0.10367856107345982
coarse_category,other,512,4,kl_full_to_compact,0.12460878804922101,16,83,0.06061729008827126,0.22211649277292977
coarse_category,other,512,4,top1_changed,0.08871753246753247,16,83,0.032467532467532464,0.15669845779220778
coarse_category,special,512,4,delta_ce,0.09618000653510242,16,239,-0.005187931834213767,0.257361857160339
coarse_category,special,512,4,kl_full_to_compact,0.16238507700719185,16,239,0.0953486958490026,0.2735063242223852
coarse_category,special,512,4,top1_changed,0.1544206205812443,16,239,0.10720542036845283,0.2004287469436271
